checking_balance,months_loan_duration,credit_history,purpose_of_loan,amount,savings_balance_(ex real estate),employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credit_facilities,default(1=no),dependents,landline,foreign_worker,job
unknown,12,critical,electronics/home entertainment,618,< $500,> 7 yrs,4,single male,none,4,real estate,56,none,own,1,1,1,none,yes,skilled employee
< $0,12,critical,used vehicle,1409,< $500,> 7 yrs,4,single male,none,3,real estate,54,none,own,1,1,1,none,yes,skilled employee
unknown,12,critical,electronics/home entertainment,797,unknown,> 7 yrs,4,female,none,3,building society savings,33,bank,own,1,2,2,none,yes,unskilled resident
> $1000,24,critical,furniture,3617,unknown,> 7 yrs,4,single male,co-applicant,4,unknown,20,none,rent,2,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,new vehicle,1318,> $2000,> 7 yrs,4,single male,none,4,real estate,54,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,54,fully repaid,business,15945,< $500,0 - 1 yrs,3,single male,none,4,unknown,58,none,rent,1,2,1,yes,yes,skilled employee
unknown,12,critical,education,2012,unknown,4 - 7 yrs,4,female,none,2,other,61,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,18,repaid,business,2622,$1001 - $2000,1 - 4 yrs,4,single male,none,4,other,34,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,36,critical,electronics/home entertainment,2337,< $500,> 7 yrs,4,single male,none,4,real estate,36,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,20,delayed,used vehicle,7057,unknown,4 - 7 yrs,3,single male,none,4,building society savings,36,bank,rent,2,1,2,yes,yes,mangement self-employed
unknown,24,repaid,new vehicle,1469,$1001 - $2000,> 7 yrs,4,married male,none,4,real estate,41,none,rent,1,1,1,none,yes,unskilled resident
$1 - $1000,36,repaid,electronics/home entertainment,2323,< $500,4 - 7 yrs,4,single male,none,4,other,24,none,rent,1,1,1,none,yes,skilled employee
unknown,6,delayed,electronics/home entertainment,932,< $500,1 - 4 yrs,3,female,none,2,real estate,24,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,9,critical,furniture,1919,< $500,4 - 7 yrs,4,single male,none,3,other,35,none,rent,1,1,1,yes,yes,skilled employee
unknown,12,repaid,used vehicle,2445,unknown,0 - 1 yrs,2,married male,none,4,other,26,none,rent,1,1,1,yes,yes,skilled employee
$1 - $1000,24,critical,others,11938,< $500,1 - 4 yrs,2,single male,co-applicant,3,other,39,none,own,2,2,2,yes,yes,mangement self-employed
unknown,18,fully repaid this bank,new vehicle,6458,< $500,> 7 yrs,2,single male,none,4,unknown,39,bank,own,2,2,2,yes,yes,mangement self-employed
$1 - $1000,12,repaid,new vehicle,6078,< $500,4 - 7 yrs,2,single male,none,2,other,32,none,own,1,1,1,none,yes,skilled employee
< $0,24,repaid,furniture,7721,unknown,0 - 1 yrs,1,female,none,2,building society savings,30,none,own,1,1,1,yes,no,skilled employee
$1 - $1000,14,repaid,business,1410,$501 - $1000,> 7 yrs,1,married male,none,2,real estate,35,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,6,delayed,business,1449,$1001 - $2000,> 7 yrs,1,divorced male,none,2,other,31,bank,own,2,1,2,none,yes,skilled employee
> $1000,15,repaid,education,392,< $500,0 - 1 yrs,4,female,none,4,building society savings,23,none,rent,1,1,1,yes,yes,skilled employee
$1 - $1000,18,repaid,new vehicle,6260,< $500,4 - 7 yrs,3,single male,none,3,real estate,28,none,rent,1,1,1,none,yes,unskilled resident
unknown,36,critical,new vehicle,7855,< $500,1 - 4 yrs,4,female,none,2,real estate,25,stores,own,2,2,1,yes,yes,skilled employee
< $0,12,repaid,electronics/home entertainment,1680,$501 - $1000,> 7 yrs,3,married male,none,1,real estate,35,none,own,1,1,1,none,yes,skilled employee
unknown,48,critical,electronics/home entertainment,3578,unknown,> 7 yrs,4,single male,none,1,real estate,47,none,own,1,1,1,yes,yes,skilled employee
< $0,42,repaid,electronics/home entertainment,7174,unknown,4 - 7 yrs,4,female,none,3,other,30,none,own,1,2,1,yes,yes,mangement self-employed
< $0,10,critical,furniture,2132,unknown,0 - 1 yrs,2,female,co-applicant,3,real estate,27,none,rent,2,1,1,none,no,skilled employee
< $0,33,critical,furniture,4281,$501 - $1000,1 - 4 yrs,1,female,none,4,other,23,none,own,2,2,1,none,yes,skilled employee
$1 - $1000,12,critical,new vehicle,2366,$501 - $1000,4 - 7 yrs,3,divorced male,none,3,other,36,none,own,1,1,1,yes,yes,mangement self-employed
< $0,21,repaid,electronics/home entertainment,1835,< $500,1 - 4 yrs,3,female,none,2,real estate,25,none,own,2,2,1,yes,yes,skilled employee
unknown,24,critical,used vehicle,3868,< $500,> 7 yrs,4,female,none,2,other,41,none,rent,2,1,1,yes,yes,mangement self-employed
unknown,12,repaid,furniture,1768,< $500,1 - 4 yrs,3,single male,none,2,real estate,24,none,rent,1,1,1,none,yes,unskilled resident
> $1000,10,critical,new vehicle,781,< $500,> 7 yrs,4,single male,none,4,unknown,63,none,for free,2,1,1,yes,yes,skilled employee
$1 - $1000,18,repaid,furniture,1924,unknown,0 - 1 yrs,4,female,none,3,real estate,27,none,rent,1,2,1,none,yes,skilled employee
< $0,12,critical,new vehicle,2121,< $500,1 - 4 yrs,4,single male,none,2,building society savings,30,none,own,2,1,1,none,yes,skilled employee
< $0,12,repaid,electronics/home entertainment,701,< $500,1 - 4 yrs,4,married male,none,2,real estate,40,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,12,repaid,repairs,639,< $500,1 - 4 yrs,4,single male,none,2,other,30,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,12,critical,used vehicle,1860,< $500,unemployed,4,single male,none,2,other,34,none,own,2,1,1,yes,yes,mangement self-employed
< $0,12,critical,new vehicle,3499,< $500,1 - 4 yrs,3,female,co-applicant,2,real estate,29,none,own,2,2,1,none,yes,skilled employee
$1 - $1000,48,repaid,new vehicle,8487,unknown,4 - 7 yrs,1,female,none,2,other,24,none,own,1,1,1,none,yes,skilled employee
< $0,36,delayed,education,6887,< $500,1 - 4 yrs,4,single male,none,3,building society savings,29,stores,own,1,2,1,yes,yes,skilled employee
unknown,15,repaid,furniture,2708,< $500,0 - 1 yrs,2,single male,none,3,building society savings,27,bank,own,2,1,1,none,yes,unskilled resident
unknown,18,repaid,furniture,1984,< $500,1 - 4 yrs,4,single male,none,4,unknown,47,bank,for free,2,1,1,none,yes,skilled employee
unknown,60,repaid,electronics/home entertainment,10144,$1001 - $2000,4 - 7 yrs,2,female,none,4,real estate,21,none,own,1,1,1,yes,yes,skilled employee
unknown,12,critical,electronics/home entertainment,1240,unknown,> 7 yrs,4,female,none,2,real estate,38,none,own,2,1,1,yes,yes,skilled employee
unknown,27,delayed,used vehicle,8613,> $2000,1 - 4 yrs,2,single male,none,2,other,27,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,electronics/home entertainment,766,$501 - $1000,1 - 4 yrs,4,single male,none,3,real estate,66,none,own,1,2,1,none,yes,unskilled resident
$1 - $1000,15,critical,electronics/home entertainment,2728,unknown,4 - 7 yrs,4,single male,guarantor,2,real estate,35,bank,own,3,1,1,yes,yes,skilled employee
> $1000,12,repaid,electronics/home entertainment,1881,< $500,1 - 4 yrs,2,female,none,2,other,44,none,rent,1,1,1,yes,yes,unskilled resident
> $1000,6,repaid,new vehicle,709,> $2000,0 - 1 yrs,2,married male,none,2,real estate,27,none,own,1,1,1,none,no,unemployed non-resident
$1 - $1000,36,repaid,electronics/home entertainment,4795,< $500,0 - 1 yrs,4,female,none,1,unknown,30,none,own,1,1,1,yes,yes,mangement self-employed
< $0,27,repaid,electronics/home entertainment,3416,< $500,1 - 4 yrs,3,single male,none,2,other,27,none,own,1,1,1,none,yes,mangement self-employed
< $0,18,repaid,furniture,2462,< $500,1 - 4 yrs,2,single male,none,2,other,22,none,own,1,2,1,none,yes,skilled employee
unknown,21,critical,furniture,2288,< $500,0 - 1 yrs,4,female,none,4,building society savings,23,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,48,fully repaid this bank,business,3566,$1001 - $2000,4 - 7 yrs,4,single male,none,2,other,30,none,own,1,1,1,none,yes,skilled employee
< $0,6,critical,new vehicle,860,< $500,> 7 yrs,1,female,none,4,unknown,39,none,own,2,1,1,yes,yes,skilled employee
unknown,12,critical,new vehicle,682,$1001 - $2000,4 - 7 yrs,4,female,none,3,other,51,none,own,2,1,1,yes,yes,skilled employee
< $0,36,critical,furniture,5371,< $500,1 - 4 yrs,3,single male,guarantor,2,building society savings,28,none,own,2,1,1,none,yes,skilled employee
unknown,18,critical,electronics/home entertainment,1582,> $2000,> 7 yrs,4,single male,none,4,other,46,none,own,2,1,1,none,yes,skilled employee
unknown,6,repaid,electronics/home entertainment,1346,$1001 - $2000,> 7 yrs,2,single male,none,4,unknown,42,bank,for free,1,1,2,yes,yes,skilled employee
unknown,10,repaid,electronics/home entertainment,1924,< $500,1 - 4 yrs,1,single male,none,4,building society savings,38,none,own,1,1,1,yes,no,skilled employee
> $1000,36,repaid,electronics/home entertainment,5848,< $500,1 - 4 yrs,4,single male,none,1,other,24,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,24,critical,used vehicle,7758,> $2000,> 7 yrs,2,female,none,4,unknown,29,none,rent,1,1,1,none,yes,skilled employee
$1 - $1000,24,delayed,business,6967,$1001 - $2000,4 - 7 yrs,4,single male,none,4,other,36,none,rent,1,1,1,yes,yes,mangement self-employed
< $0,12,repaid,furniture,1282,< $500,1 - 4 yrs,2,female,none,4,other,20,none,rent,1,2,1,none,yes,skilled employee
< $0,9,critical,repairs,1288,$1001 - $2000,> 7 yrs,3,single male,guarantor,4,real estate,48,none,own,2,1,2,none,no,skilled employee
< $0,12,fully repaid this bank,retraining,339,< $500,> 7 yrs,4,married male,none,1,other,45,bank,own,1,1,1,none,yes,unskilled resident
$1 - $1000,24,repaid,new vehicle,3512,$1001 - $2000,4 - 7 yrs,2,single male,none,3,other,38,bank,own,2,1,1,yes,yes,skilled employee
unknown,6,critical,electronics/home entertainment,1898,unknown,1 - 4 yrs,1,single male,none,2,real estate,34,none,own,2,1,2,none,yes,unskilled resident
unknown,24,critical,electronics/home entertainment,2872,$1001 - $2000,> 7 yrs,3,single male,none,4,real estate,36,none,own,1,1,2,yes,yes,skilled employee
unknown,18,critical,new vehicle,1055,< $500,0 - 1 yrs,4,female,none,1,building society savings,30,none,own,2,1,1,none,yes,skilled employee
unknown,15,repaid,domestic appliances,1262,$501 - $1000,4 - 7 yrs,4,single male,none,3,building society savings,36,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,10,repaid,new vehicle,7308,< $500,unemployed,2,single male,none,4,unknown,70,bank,for free,1,1,1,yes,yes,mangement self-employed
unknown,36,repaid,new vehicle,909,$501 - $1000,> 7 yrs,4,single male,none,4,building society savings,36,none,own,1,1,1,none,yes,skilled employee
unknown,6,repaid,furniture,2978,$501 - $1000,1 - 4 yrs,1,single male,none,2,other,32,none,own,1,1,1,yes,yes,skilled employee
< $0,18,repaid,furniture,1131,< $500,unemployed,4,female,none,2,other,33,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,11,repaid,furniture,1577,> $2000,0 - 1 yrs,4,female,none,1,real estate,20,none,own,1,1,1,none,yes,skilled employee
unknown,24,repaid,furniture,3972,< $500,4 - 7 yrs,2,female,none,4,building society savings,25,none,rent,1,1,1,yes,yes,skilled employee
$1 - $1000,24,critical,business,1935,< $500,> 7 yrs,4,divorced male,none,4,real estate,31,none,own,2,2,1,yes,yes,skilled employee
< $0,15,fully repaid,new vehicle,950,< $500,> 7 yrs,4,single male,none,3,other,33,none,rent,2,2,2,none,yes,skilled employee
unknown,12,repaid,furniture,763,< $500,1 - 4 yrs,4,female,none,1,real estate,26,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,24,delayed,furniture,2064,< $500,unemployed,3,female,none,2,building society savings,34,none,own,1,2,1,yes,yes,mangement self-employed
$1 - $1000,8,repaid,electronics/home entertainment,1414,< $500,1 - 4 yrs,4,single male,guarantor,2,real estate,33,none,own,1,1,1,none,no,skilled employee
< $0,21,delayed,education,3414,< $500,0 - 1 yrs,2,single male,none,1,building society savings,26,none,own,2,2,1,none,yes,skilled employee
unknown,30,fully repaid this bank,used vehicle,7485,unknown,unemployed,4,female,none,1,real estate,53,bank,own,1,2,1,yes,yes,mangement self-employed
< $0,12,repaid,furniture,2577,< $500,1 - 4 yrs,2,divorced male,none,1,other,42,none,own,1,1,1,none,yes,skilled employee
< $0,6,critical,electronics/home entertainment,338,$501 - $1000,> 7 yrs,4,single male,none,4,other,52,none,own,2,1,1,none,yes,skilled employee
unknown,12,repaid,electronics/home entertainment,1963,< $500,4 - 7 yrs,4,single male,none,2,other,31,none,rent,2,1,2,yes,yes,mangement self-employed
< $0,21,critical,new vehicle,571,< $500,> 7 yrs,4,single male,none,4,real estate,65,none,own,2,1,1,none,yes,skilled employee
unknown,36,delayed,business,9572,< $500,0 - 1 yrs,1,divorced male,none,1,other,28,none,own,2,2,1,none,yes,skilled employee
$1 - $1000,36,delayed,business,4455,< $500,1 - 4 yrs,2,divorced male,none,2,real estate,30,stores,own,2,2,1,yes,yes,mangement self-employed
< $0,21,fully repaid this bank,new vehicle,1647,unknown,1 - 4 yrs,4,single male,none,2,building society savings,40,none,own,2,2,2,none,yes,unskilled resident
unknown,24,critical,furniture,3777,> $2000,1 - 4 yrs,4,single male,none,4,real estate,50,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,18,critical,new vehicle,884,< $500,> 7 yrs,4,single male,none,4,other,36,bank,own,1,2,2,yes,yes,skilled employee
unknown,15,critical,electronics/home entertainment,1360,< $500,1 - 4 yrs,4,single male,none,2,building society savings,31,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,9,fully repaid this bank,used vehicle,5129,< $500,> 7 yrs,2,female,none,4,unknown,74,bank,for free,1,2,2,yes,yes,mangement self-employed
$1 - $1000,16,critical,new vehicle,1175,< $500,unemployed,2,single male,none,3,other,68,none,for free,3,1,1,yes,yes,unemployed non-resident
< $0,12,repaid,electronics/home entertainment,674,$1001 - $2000,4 - 7 yrs,4,married male,none,1,building society savings,20,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,18,fully repaid,furniture,3244,< $500,1 - 4 yrs,1,female,none,4,other,33,bank,own,2,1,1,yes,yes,skilled employee
unknown,24,repaid,business,4591,> $2000,1 - 4 yrs,2,single male,none,3,building society savings,54,none,own,3,2,1,yes,yes,mangement self-employed
$1 - $1000,48,fully repaid,business,3844,$1001 - $2000,4 - 7 yrs,4,single male,none,4,unknown,34,none,for free,1,2,2,none,yes,unskilled resident
